TITOLO,DESCRIZIONE,PREZZO,CURRENCY_CODE,QUANTITÀ,TAG,MATERIALI,IMMAGINE1,IMMAGINE2,IMMAGINE3,IMMAGINE4,IMMAGINE5,IMMAGINE6,IMMAGINE7,IMMAGINE8,IMMAGINE9,IMMAGINE10,"TIPO VARIANTE 1","NOME VARIANTE 1","VALORI VARIANTE 1","TIPO VARIANTE 2","NOME VARIANTE 2","VALORI VARIANTE 2",SKU
"Iron Man MK 85 Full Armor - Electronic DIY Kit","With this electronic kit you can install LEDs on your Iron Man Armor.

-Variant Options:
Animated LEDs: Neopixel rings
Static LEDs: SMD LED Strips
USB: type A (Tips: you can plug the USB cable to a Powerbank in order to use a battery with more lifespan).

-This kit includes:
Reactor LEDs
Hands LEDs
Eyes LEDs

Arduino (only for Animated Fading LEDs Variant)
JST connectors (in order to attach and detach some parts of the circuit, for example head and hands)

-First of all make sure your cosplay or accessory is suited to support an electronic circuit, you can contact me for custom orders. Batteries and Translucent EVA foam are not included.

-WARNING:
Don't invert battery and JST Connectors polarities, in order to avoid shortcircuits. Always check the wire colors whenever you plug a connector.",100,EUR,3,"iron_man,marvel,armor,cosplay,cosplayer,electronic,diy,circuit,stark,model,costume,models,pattern",,https://i.etsystatic.com/22599197/r/il/89c7d0/5396033201/il_fullxfull.5396033201_neel.jpg,https://i.etsystatic.com/22599197/r/il/0c440d/5318183886/il_fullxfull.5318183886_9fa4.jpg,,,,,,,,,"Caratteristica personalizzata","LEDs - Power Supply","Static LEDs - USB,Fading Eyes-USB",,,,
"Sylas full set Pepakura - Foam","This kit contains the pepakura patterns to build Sylas accessories from League of legends (only for foam).

The files are compressed in a .zip folder, which includes a .pdo file for each piece of armor:
Bracelet, collar, chain piece.

You can open the files with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

The pieces are based on a person of 5'7'', but you can scale them with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

Some parts are divided in half, but you can mirror them in order to obtain the other half.",9,EUR,973,"cosplay,costume,sylas,league_of_legends,armor,accessories,lol,model,models,pepakura,pattern,foam,blueprint",,https://i.etsystatic.com/22599197/r/il/22c36e/2233782616/il_fullxfull.2233782616_sylq.jpg,https://i.etsystatic.com/22599197/r/il/f7fd8f/2233782768/il_fullxfull.2233782768_j074.jpg,https://i.etsystatic.com/22599197/r/il/28d25a/2281374493/il_fullxfull.2281374493_ttps.jpg,https://i.etsystatic.com/22599197/r/il/7b09a2/2233782878/il_fullxfull.2233782878_n2ii.jpg,https://i.etsystatic.com/22599197/r/il/4e4bae/2233782936/il_fullxfull.2233782936_a1kw.jpg,https://i.etsystatic.com/22599197/r/il/0b5b00/2233783036/il_fullxfull.2233783036_azvd.jpg,,,,,,,,,,,
"Kayn Scythe Pepakura - Foam pattern","This kit contains the pattern of the Kayn scythe from the game League of legends (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Scythe.

The model includes scythe and knob in the same file, for the handle you need a PVC pipe (you can base the pipe lenght on your height).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",3,EUR,966,"cosplay,costume,pepakura,kayn,league_of_legends,scythe,model,models,weapon_model,sickle,lol,pattern,blueprint",,https://i.etsystatic.com/22599197/r/il/2dc89d/2233751772/il_fullxfull.2233751772_461y.jpg,,,,,,,,,,,,,,,,
"Byleth male armor Pepakura - Foam","This kit contains the patterns for Byleth's armor from the game Fire Emblem Three Houses (only for foam, from 5mm to 10mm).


The file is compressed in a .zip folder, which includes the .pdo file: Byleth male armor, Dagger.

The model includes all the armor pieces in the same file and a folder with textures. It's based on a person of 5'7'', but you can scale the armor with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",9,EUR,968,"fire_emblem,three_houses,byleth,male,armor,cosplay,cosplayer,pattern,patterns,pepakura,model,dagger,foam",,https://i.etsystatic.com/22599197/r/il/b09a4d/2355213507/il_fullxfull.2355213507_gc28.jpg,https://i.etsystatic.com/22599197/r/il/d2057d/2307612638/il_fullxfull.2307612638_9ljb.jpg,https://i.etsystatic.com/22599197/r/il/685489/2355213231/il_fullxfull.2355213231_ouu6.jpg,https://i.etsystatic.com/22599197/r/il/2665a0/2324570938/il_fullxfull.2324570938_1wmp.jpg,,,,,,,,,,,,,
"Goblin Slayer full armor set - Pepakura - Foam","This kit contains the full armor set of Goblin Slayer (it can be used only for foam, from 5mm to 10mm).

Leather patterns for belts or sheats are not included.

The files are compressed in a .zip folder, which includes a .pdo file for each piece of armor:
helmet, torso, shoulder, bracelet, leg, sword, shield, dagger.

You can open the files with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

The pieces are based on a person of 5'7'', but you can scale them with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

Some parts are divided in half, but you can mirror them in order to obtain the other half.",18,EUR,996,"goblin_slayer,helmet,armor,sword,shield,priestess,anime,cosplay,foam,pepakura,pattern,patterns,model",,https://i.etsystatic.com/22599197/r/il/78a4d6/2461899186/il_fullxfull.2461899186_6fup.jpg,https://i.etsystatic.com/22599197/r/il/1f1857/2464737980/il_fullxfull.2464737980_rprr.jpg,,,,,,,,,,,,,,,
"Spektar Haliaetus helmet from Destiny Foam Pattern Pepakura","This kit contains the patterns for Haliaetus helmet from the game Destiny (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Spektar Haliaetus helmet

The model includes the helmet file, based on a person of 5'7''. The helmet is 22 cm wide and 26 cm tall, but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",6,EUR,996,"destiny,haliaetus,spektar,helmet,pepakura,foam,pattern,patterns,model,models,cosplay,armor,warlock",,https://i.etsystatic.com/22599197/r/il/29ec03/2431940318/il_fullxfull.2431940318_73ss.jpg,https://i.etsystatic.com/22599197/r/il/d29c07/2479567927/il_fullxfull.2479567927_iddu.jpg,https://i.etsystatic.com/22599197/r/il/301211/2479568007/il_fullxfull.2479568007_12l4.jpg,https://i.etsystatic.com/22599197/r/il/40cb11/2431940662/il_fullxfull.2431940662_nrp3.jpg,https://i.etsystatic.com/22599197/r/il/249f92/2431940730/il_fullxfull.2431940730_stuy.jpg,,,,,,,,,,,,
"Dark Samus full armor- Foam Pattern Pepakura","This kit contains the patterns for Dark Samus full armor (only for foam, 5mm - 10mm).


The file is compressed in a .zip folder, which includes the .pdo file: Body (Torso, and legs), shoulder, arm, hand, cannon, helmet.

The model includes the full armor, based on a person of 5'7'', but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",18,EUR,969,"dark_samus,cannon,pepakura,foam,metroid,armor,cosplay,model,models,pattern,patterns,led,samus",,https://i.etsystatic.com/22599197/r/il/d5fd52/2466104176/il_fullxfull.2466104176_2kj2.jpg,https://i.etsystatic.com/22599197/r/il/abd841/2466096992/il_fullxfull.2466096992_d1sf.jpg,https://i.etsystatic.com/22599197/r/il/747007/2434747114/il_fullxfull.2434747114_cwho.jpg,,,,,,,,,,,,,,
"Catherine Armor Pepakura - Foam","This kit contains the patterns for Catherine's full armor from the game Fire Emblem Three Houses (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Full Armor.

The model includes all the armor pieces in the same file and a folder with textures. It's based on a person of 5'7'', but you can scale the armor with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",11,EUR,999,"cosplay,costume,fire_emblem,three_houses,accessories,foam,model,models,papercraft,pepakura,pattern,patterns,catherine",,https://i.etsystatic.com/22599197/r/il/ed7555/2235607202/il_fullxfull.2235607202_kal0.jpg,https://i.etsystatic.com/22599197/r/il/3c6ced/2235607398/il_fullxfull.2235607398_703c.jpg,https://i.etsystatic.com/22599197/r/il/5327d9/2283200969/il_fullxfull.2283200969_nyjs.jpg,https://i.etsystatic.com/22599197/r/il/bcd141/2355206941/il_fullxfull.2355206941_mjqy.jpg,,,,,,,,,,,,,
"Sett bracelet Pepakura - Foam","This kit contains the pattern of the Sett bracelet from League of legends (only for foam).

The file is compressed in a .zip folder, which includes the .pdo file: Sett bracelet.

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

The forearm is based on a person of 5'7'', but you can scale the model with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

Some parts are divided in half, but you can mirror them in order to obtain the other half.",4,EUR,999,"cosplay,costume,sett,league_of_legends,pepakura,model,models,lol,blueprint,accessories,armor,papercraft,bracelet",,https://i.etsystatic.com/22599197/r/il/0fe0f9/2233822318/il_fullxfull.2233822318_bpnv.jpg,https://i.etsystatic.com/22599197/r/il/dff0ad/2281414111/il_fullxfull.2281414111_mx1w.jpg,https://i.etsystatic.com/22599197/r/il/f960f1/2233822560/il_fullxfull.2233822560_spv7.jpg,https://i.etsystatic.com/22599197/r/il/31d020/2281414169/il_fullxfull.2281414169_b9qp.jpg,,,,,,,,,,,,,
"Armor King Full Armor - Pepakura Foam","This kit contains the pepakura patterns for Armor King (only for foam).

The files are compressed in a .zip folder, which includes a .pdo file for each piece of armor:
Torso, Shoulder, Arm, Leg.

You can open the files with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

The pieces are based on a person of 5'7'' (170cm), but you can scale them with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

Some parts are divided in half, but you can mirror them in order to obtain the other half.",17,EUR,995,"armor_king,tekken,cosplay,armor,pepakura,foam,model,models,pattern,patterns,cosplayer",,https://i.etsystatic.com/22599197/r/il/607be9/3011631878/il_fullxfull.3011631878_gxx7.jpg,https://i.etsystatic.com/22599197/r/il/d6cfb6/3011630986/il_fullxfull.3011630986_d4sz.jpg,https://i.etsystatic.com/22599197/r/il/5369d6/3011631062/il_fullxfull.3011631062_sfoe.jpg,https://i.etsystatic.com/22599197/r/il/d2c6f4/3011631270/il_fullxfull.3011631270_1f9c.jpg,https://i.etsystatic.com/22599197/r/il/00b16a/3011631396/il_fullxfull.3011631396_2sdj.jpg,https://i.etsystatic.com/22599197/r/il/42739a/3059336341/il_fullxfull.3059336341_glqi.jpg,,,,,,,,,,,
